year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",0
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",623
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",877
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",605
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",647
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",471
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",271
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",457
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",500
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",414
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1071,Jackson County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",1529
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",311
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1077,Lauderdale County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",361
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1081,Lee County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",188
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1083,Limestone County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",778
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",312
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1095,Marshall County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",133
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",306
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",714
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1101,Montgomery County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",424
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1103,Morgan County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",237
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1113,Russell County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",133
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1115,St. Clair County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",0
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1117,Shelby County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",200
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1121,Talladega County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",444
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1123,Tallapoosa County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",1308
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",364
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1127,Walker County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",474
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,Asian/Pacific islander,All,"undefined",774
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,Asian/Pacific islander,All,"undefined",677
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,Asian/Pacific islander,All,"undefined",492
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,Asian/Pacific islander,All,"undefined",776
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2150,Kodiak Island Borough,ALASKA,Rural,Asian/Pacific islander,All,"undefined",351
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,Asian/Pacific islander,All,"undefined",512
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2220,Sitka City and Borough,ALASKA,Rural,Asian/Pacific islander,All,"undefined",583
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,4003,Cochise County,ARIZONA,Rural,Asian/Pacific islander,All,"undefined",488
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,4005,Coconino County,ARIZONA,Urban,Asian/Pacific islander,All,"undefined",364
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,4007,Gila County,ARIZONA,Rural,Asian/Pacific islander,All,"undefined",250
