year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",753
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1750
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",1063
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",667
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1167
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1294
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1081,Lee County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1545
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",806
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",818
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",523
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1101,Montgomery County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",364
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",214
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,American Indian/Alaska native,All,"undefined",452
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2050,Bethel Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",40
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2060,Bristol Bay Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",605
2013,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2070,Dillingham Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",42
