year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",667
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1385
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",545
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",1183
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1167
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",600
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",600
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1095,Marshall County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",727
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1216
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",750
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1101,Montgomery County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1364
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",353
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,American Indian/Alaska native,All,"undefined",555
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2050,Bethel Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",65
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2060,Bristol Bay Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",817
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2070,Dillingham Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",45
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,American Indian/Alaska native,All,"undefined",1093
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2100,Haines Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",44
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1041
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1477
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2150,Kodiak Island Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",532
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,American Indian/Alaska native,All,"undefined",1141
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2180,Nome Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1190
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2220,Sitka City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",307
2016,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2230,Skagway Municipality,ALASKA,Rural,American Indian/Alaska native,All,"undefined",184
