"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"Civilian noninstitutionalized population","94.4%","±0.2","92.6%","±0.3","89.2%","±0.3","92.8%","±0.3","94.3%","±0.1","93.3%","±0.3","86.5%","±0.6"
"    AGE","","","","","","","","","","","","","",""
"        Under 6 years","97.8%","±0.5","97.5%","±0.6","95.6%","±0.7","96.5%","±0.9","98.3%","±0.3","97.6%","±0.4","95.9%","±1.3"
"        6 to 18 years","96.6%","±0.5","96.4%","±0.4","93.8%","±0.5","95.4%","±0.7","97.6%","±0.2","96.7%","±0.4","95.5%","±0.9"
"        19 to 25 years","89.8%","±1.0","86.6%","±1.1","85.4%","±1.0","89.9%","±0.9","90.3%","±0.6","87.7%","±1.1","77.2%","±2.4"
"        26 to 34 years","88.8%","±0.8","85.3%","±0.8","79.2%","±0.9","90.0%","±0.8","90.2%","±0.4","87.5%","±0.8","73.5%","±2.1"
"        35 to 44 years","92.1%","±0.7","87.8%","±0.7","81.1%","±0.8","88.2%","±0.9","91.9%","±0.4","89.3%","±0.7","72.1%","±1.9"
"        45 to 54 years","93.8%","±0.6","92.1%","±0.6","89.2%","±0.7","90.5%","±0.9","94.0%","±0.3","92.1%","±0.7","81.2%","±1.8"
"        55 to 64 years","95.1%","±0.4","94.2%","±0.5","92.9%","±0.5","93.9%","±0.6","94.9%","±0.3","94.5%","±0.6","87.8%","±1.6"
"        65 to 74 years","99.0%","±0.3","98.0%","±0.4","97.6%","±0.4","98.9%","±0.4","98.7%","±0.3","99.3%","±0.3","98.3%","±0.8"
"        75 years and older","99.2%","±0.3","98.6%","±0.4","98.9%","±0.3","99.5%","±0.4","99.6%","±0.2","99.6%","±0.3","99.8%","±0.2"
"        Under 19 years","97.0%","±0.4","96.7%","±0.4","94.4%","±0.5","95.8%","±0.6","97.8%","±0.2","97.0%","±0.3","95.6%","±0.9"
"        19 to 64 years","92.1%","±0.3","89.6%","±0.4","85.6%","±0.4","90.5%","±0.4","92.2%","±0.2","90.3%","±0.4","78.2%","±0.9"
"        65 years and older","99.1%","±0.2","98.3%","±0.3","98.1%","±0.3","99.1%","±0.3","99.1%","±0.2","99.4%","±0.2","98.9%","±0.5"
"    SEX","","","","","","","","","","","","","",""
"        Male","93.3%","±0.4","91.8%","±0.3","87.2%","±0.4","91.1%","±0.5","93.5%","±0.2","92.3%","±0.4","84.7%","±0.7"
"        Female","95.3%","±0.3","93.3%","±0.3","91.1%","±0.3","94.2%","±0.4","95.2%","±0.2","94.2%","±0.3","88.2%","±0.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","",""
"        White alone","95.0%","±0.3","95.4%","±0.3","89.3%","±0.9","93.5%","±0.5","95.7%","±0.1","94.2%","±0.3","87.5%","±0.6"
"        Black or African American alone","94.2%","±0.4","92.2%","±0.6","93.3%","±0.3","92.9%","±0.4","92.3%","±0.7","93.3%","±1.3","91.4%","±4.6"
"        American Indian and Alaska Native alone","91.0%","±4.9","89.3%","±5.6","90.4%","±4.2","91.0%","±6.0","81.7%","±3.6","84.7%","±3.5","80.7%","±3.2"
