"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"Civilian noninstitutionalized population","91.9%","±0.3","89.7%","±0.3","86.2%","±0.3","89.7%","±0.3","90.3%","±0.2","88.7%","±0.3","79.5%","±0.7"
"AGE","","","","","","","","","","","","","",""
"    Under 18 years","96.0%","±0.5","96.1%","±0.4","94.5%","±0.4","95.6%","±0.5","96.3%","±0.3","95.0%","±0.5","92.7%","±1.0"
"        Under 6 years","96.2%","±0.9","97.1%","±0.6","96.3%","±0.7","96.4%","±0.6","96.6%","±0.4","96.0%","±0.7","94.5%","±1.3"
"        6 to 17 years","95.9%","±0.6","95.7%","±0.5","93.6%","±0.5","95.1%","±0.7","96.1%","±0.3","94.4%","±0.6","91.7%","±1.2"
"    18 to 64 years","88.8%","±0.4","85.7%","±0.4","81.5%","±0.4","86.1%","±0.4","86.9%","±0.3","84.1%","±0.5","68.5%","±1.0"
"        18 to 24 years","87.0%","±1.0","82.7%","±1.2","82.2%","±1.0","86.1%","±0.9","83.1%","±0.8","79.0%","±1.3","59.2%","±2.7"
"        25 to 34 years","83.5%","±1.1","79.5%","±0.9","71.8%","±0.8","84.9%","±0.8","82.3%","±0.5","78.1%","±1.1","60.4%","±2.2"
"        35 to 44 years","89.0%","±0.8","84.9%","±0.9","78.1%","±0.7","84.4%","±1.0","87.3%","±0.6","84.3%","±0.9","65.4%","±2.1"
"        45 to 54 years","91.4%","±0.7","89.4%","±0.6","86.7%","±0.7","85.1%","±1.0","90.0%","±0.5","87.1%","±0.7","73.7%","±2.0"
"        55 to 64 years","92.7%","±0.6","90.8%","±0.6","90.3%","±0.7","90.5%","±0.7","91.8%","±0.4","91.0%","±0.7","84.4%","±1.7"
"    65 years and older","99.0%","±0.2","97.5%","±0.3","97.6%","±0.4","99.1%","±0.3","98.9%","±0.2","99.3%","±0.3","98.9%","±0.3"
"        65 to 74 years","98.7%","±0.3","96.6%","±0.5","97.0%","±0.6","98.9%","±0.4","98.4%","±0.3","99.2%","±0.3","98.6%","±0.5"
"        75 years and older","99.4%","±0.3","98.5%","±0.4","98.6%","±0.4","99.5%","±0.3","99.5%","±0.2","99.6%","±0.3","99.3%","±0.5"
"19 to 25 years","86.2%","±0.9","80.9%","±1.2","80.3%","±1.0","85.3%","±0.8","82.0%","±0.7","77.3%","±1.3","55.3%","±2.8"
"SEX","","","","","","","","","","","","","",""
"    Male","90.7%","±0.4","88.8%","±0.4","83.6%","±0.4","87.3%","±0.5","89.2%","±0.3","87.5%","±0.4","77.4%","±0.8"
"    Female","93.1%","±0.4","90.7%","±0.3","88.6%","±0.3","91.7%","±0.4","91.4%","±0.2","89.8%","±0.4","81.6%","±0.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","",""
"    White alone","93.1%","±0.4","93.8%","±0.3","84.2%","±0.8","90.9%","±0.6","91.8%","±0.2","89.7%","±0.4","81.9%","±0.8"
"    Black or African American alone","91.0%","±0.7","86.8%","±0.7","90.9%","±0.3","89.6%","±0.5","85.5%","±1.1","88.0%","±1.3","78.8%","±7.0"
"    American Indian and Alaska Native alone","93.3%","±3.5","87.5%","±5.0","81.6%","±6.5","85.0%","±8.5","78.5%","±2.6","75.5%","±3.9","67.8%","±4.6"
"    Asian alone","87.5%","±1.6","90.1%","±0.9","85.2%","±1.6","87.9%","±2.7","90.2%","±0.5","86.8%","±1.3","83.0%","±6.8"
"    Native Hawaiian and Other Pacific Islander alone","97.6%","±3.7","73.1%","±28.8","90.8%","±12.7","83.1%","±15.4","84.0%","±3.7","87.5%","±2.6","43.2%","±19.7"
"    Some other race alone","73.5%","±4.9","65.8%","±1.9","57.1%","±1.8","69.1%","±4.2","67.4%","±1.9","68.3%","±3.2","66.8%","±2.8"
