"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"Civilian noninstitutionalized population","94.8%","±0.3","92.9%","±0.3","89.9%","±0.3","93.4%","±0.3","94.7%","±0.2","94.0%","±0.2","86.9%","±0.7"
"    AGE","","","","","","","","","","","","","",""
"        Under 6 years","97.8%","±0.6","97.2%","±0.6","95.7%","±0.8","96.9%","±0.9","98.2%","±0.3","98.0%","±0.4","95.2%","±1.7"
"        6 to 18 years","96.7%","±0.5","96.3%","±0.5","94.0%","±0.6","95.5%","±0.6","97.8%","±0.3","97.2%","±0.4","95.6%","±1.0"
"        19 to 25 years","91.9%","±1.0","88.4%","±0.9","86.5%","±0.9","90.6%","±1.0","91.1%","±0.7","90.1%","±0.8","79.3%","±2.1"
"        26 to 34 years","89.0%","±0.9","86.0%","±1.0","80.6%","±0.8","91.0%","±0.7","91.2%","±0.5","88.4%","±0.9","75.0%","±2.1"
"        35 to 44 years","92.3%","±0.7","87.6%","±0.8","82.2%","±0.7","89.5%","±1.0","92.3%","±0.5","90.5%","±0.7","72.5%","±2.1"
"        45 to 54 years","93.8%","±0.6","92.2%","±0.6","90.0%","±0.8","91.5%","±0.8","94.3%","±0.4","92.9%","±0.6","81.4%","±2.2"
"        55 to 64 years","95.8%","±0.5","94.5%","±0.5","93.5%","±0.5","94.1%","±0.7","95.2%","±0.3","94.3%","±0.6","87.9%","±1.7"
"        65 to 74 years","99.2%","±0.2","98.0%","±0.4","97.6%","±0.4","98.8%","±0.4","98.7%","±0.3","99.5%","±0.2","97.7%","±1.1"
"        75 years and older","99.4%","±0.3","98.7%","±0.4","98.7%","±0.4","99.6%","±0.3","99.6%","±0.1","99.7%","±0.2","99.7%","±0.2"
"        Under 19 years","97.0%","±0.4","96.6%","±0.4","94.5%","±0.5","96.0%","±0.6","97.9%","±0.2","97.4%","±0.3","95.5%","±1.1"
"        19 to 64 years","92.7%","±0.4","90.0%","±0.4","86.6%","±0.4","91.3%","±0.4","92.8%","±0.2","91.3%","±0.4","79.0%","±1.0"
"        65 years and older","99.3%","±0.2","98.3%","±0.3","98.0%","±0.3","99.1%","±0.3","99.0%","±0.2","99.6%","±0.1","98.5%","±0.6"
"    SEX","","","","","","","","","","","","","",""
"        Male","94.0%","±0.4","92.2%","±0.4","87.8%","±0.4","91.9%","±0.5","93.9%","±0.2","93.2%","±0.4","84.9%","±0.9"
"        Female","95.5%","±0.3","93.5%","±0.3","91.9%","±0.3","94.8%","±0.3","95.5%","±0.2","94.7%","±0.2","88.8%","±0.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","",""
"        White alone","95.5%","±0.3","95.7%","±0.3","92.3%","±0.7","94.3%","±0.5","96.2%","±0.2","94.9%","±0.2","87.9%","±0.8"
"        Black or African American alone","94.5%","±0.6","92.5%","±0.7","93.8%","±0.3","93.6%","±0.4","92.5%","±0.7","92.6%","±1.1","94.9%","±3.3"
"        American Indian and Alaska Native alone","94.0%","±3.8","89.5%","±5.8","90.7%","±3.9","93.3%","±4.2","82.7%","±3.6","87.1%","±3.6","83.3%","±3.1"
"        Asian alone","93.3%","±1.2","94.9%","±0.6","92.2%","±1.2","92.5%","±1.9","95.6%","±0.3","92.7%","±1.1","92.6%","±2.8"
